,Headlines,Date,level_0,index,Close,High,Low,Open,Volume
43,British Police May Question Downing Street Adviser on Phone-Hacking ; British Police May Question Downing Street Adviser on Phone-Hacking,2010-09-07,48,48,1.369333028793335,1.399999976158142,1.3666670322418213,1.3739999532699585,3651000
44,First Lady Asks Congress to Join Childhood Obesity Fight ; First Lady Asks Congress to Join Childhood Obesity Fight,2010-09-09,50,50,1.380666971206665,1.4033329486846924,1.3793330192565918,1.399999976158142,5643000
45,Britain: Phone Hacking Inquiry Approved ; Republican Congressman Talks Government Shutdown ; Britain: Phone Hacking Inquiry Approved ; Republican Congressman Talks Government Shutdown,2010-09-10,51,51,1.3446669578552246,1.3953330516815186,1.3173329830169678,1.3833329677581787,5799000
46,The Congressional Ad Race: Who’s Buying and What’s Been Said? ; Kevin Spacey on Abramoff and Facebook in Toronto ; The Congressional Ad Race: Who’s Buying and What’s Been Said? ; Kevin Spacey on Abramoff and Facebook in Toronto,2010-09-13,52,52,1.3813329935073853,1.3933329582214355,1.3666670322418213,1.3926670551300049,5412000
47,A Metaphoric Turn to Cannibalism ; A Metaphoric Turn to Cannibalism,2010-09-14,53,53,1.4079999923706055,1.440000057220459,1.3686670064926147,1.369333028793335,9820500
48,Don’t Tell Facebook Friends That You’re Going Away ; Don’t Tell Facebook Friends That You’re Going Away,2010-09-15,54,54,1.4653329849243164,1.4666670560836792,1.3860000371932983,1.3986669778823853,10269000
49,"Diaspora, the Open Facebook Alternative, Releases Its Code ; Audi TT RS Coming to U.S. Thanks to Facebook Fans ; Diaspora, the Open Facebook Alternative, Releases Its Code ; Audi TT RS Coming to U.S. Thanks to Facebook Fans",2010-09-16,55,55,1.3960000276565552,1.5440000295639038,1.3893330097198486,1.476667046546936,40267500
50,"Diaspora, a Facebook Alternative, Releases Its Code ; You’re ‘So Coal': Angling to Shame Facebook ; The Metafictional Club ; Penn Player’s Mother to Testify About Concussions in Congressional Hearing ; Diaspora, a Facebook Alternative, Releases Its Code ; You’re ‘So Coal': Angling to Shame Facebook ; The Metafictional Club ; Penn Player’s Mother to Testify About Concussions in Congressional Hearing",2010-09-17,56,56,1.348667025566101,1.4213329553604126,1.3200000524520874,1.401332974433899,17977500
51,"Miners Die, Congress Dawdles ; The Week Ahead in Congress ; Rattner Speaks: Chrysler, Congress and Khakis ; G.O.P. to Roll Out Agenda for Congress ; Miners Die, Congress Dawdles ; The Week Ahead in Congress ; Rattner Speaks: Chrysler, Congress and Khakis ; G.O.P. to Roll Out Agenda for Congress",2010-09-20,57,57,1.4040000438690186,1.4233330488204956,1.343999981880188,1.378000020980835,14212500
52,Illinois: Congressman Denies Dealing for Senate Seat ; Liking to Like on Facebook ; Facebook Hopes Credits Make Dollars ; Facebook Founder to Donate $100 Million to Help Remake Newark’s Schools ; Illinois: Congressman Denies Dealing for Senate Seat ; Liking to Like on Facebook ; Facebook Hopes Credits Make Dollars ; Facebook Founder to Donate $100 Million to Help Remake Newark’s Schools,2010-09-22,59,59,1.324666976928711,1.3966670036315918,1.3200000524520874,1.391332983970642,14443500
53,Is Facebook Positioning Itself to Take on PayPal? ; Facebook Says It Is Working on Technical Troubles ; Is Facebook Positioning Itself to Take on PayPal? ; Facebook Says It Is Working on Technical Troubles,2010-09-23,60,60,1.3040000200271606,1.3426669836044312,1.2999999523162842,1.3259999752044678,10021500
54,Congress Considers Concussion Protections ; Facebook and Newark ; Timetable for Education Guidelines ; BHP Bid for Potash Clears Antitrust Hurdle ; Congress Considers Concussion Protections ; Facebook and Newark ; Timetable for Education Guidelines ; BHP Bid for Potash Clears Antitrust Hurdle,2010-09-24,61,61,1.340000033378601,1.3459999561309814,1.309999942779541,1.3300000429153442,8683500
55,"If Congress Stalls, Do Stocks Rise? ; Facebook vs. Google: A Showdown of Paradigms ; Congress: The Week Ahead ; If Congress Stalls, Do Stocks Rise? ; Facebook vs. Google: A Showdown of Paradigms ; Congress: The Week Ahead",2010-09-27,62,62,1.3686670064926147,1.3873330354690552,1.3366669416427612,1.3600000143051147,6279000
56,"The Value of a Piece of Facebook ; The Value of a Piece of Facebook ; After Recalls of Drugs, a Congressional Spotlight on J.& J.’s Chief ; The Value of a Piece of Facebook ; The Value of a Piece of Facebook ; After Recalls of Drugs, a Congressional Spotlight on J.& J.’s Chief",2010-09-28,63,63,1.4266669750213623,1.4326670169830322,1.3839999437332153,1.4026670455932617,18217500
57,Congress Likely to Urge China to Raise Its Currency ; Congress Likely to Urge China to Raise Its Currency ; Congress Likely to Urge China to Raise Its Currency ; Congress Likely to Urge China to Raise Its Currency,2010-09-29,64,64,1.4653329849243164,1.4686670303344727,1.408666968345642,1.4126670360565186,29539500
58,Congress Wraps Up Session Early as Midterm Races Loom ; Russia: U.S. Congressmen Propose Sanctions in Lawyer’s Death ; Facebook and Skype Plan Integration ; Congress Wraps Up Session Early as Midterm Races Loom ; Russia: U.S. Congressmen Propose Sanctions in Lawyer’s Death ; Facebook and Skype Plan Integration,2010-09-30,65,65,1.3606669902801514,1.476667046546936,1.3459999561309814,1.4666670560836792,32937000
59,"John Boehner on Congressional Reform ; Studio Behind Facebook Movie Woos Techies ; When Lawyers Can Peek at Facebook ; Facebook Announces 5-for-1 Stock Split ; Where Are Facebook’s Employees? At the Movies, of Course ; John Boehner on Congressional Reform ; Studio Behind Facebook Movie Woos Techies ; When Lawyers Can Peek at Facebook ; Facebook Announces 5-for-1 Stock Split ; Where Are Facebook’s Employees? At the Movies, of Course",2010-10-01,66,66,1.3733329772949219,1.3833329677581787,1.3539999723434448,1.3793330192565918,8965500
60,"No Stopping Movie View of Mark Zuckerberg ; A Silicon Valley Investor’s Take on a Post-Facebook World ; On Start-Ups, Angels and the Real Mark Zuckerberg ; No Stopping Movie View of Mark Zuckerberg ; Mark Zuckerberg Friends ‘The Simpsons’ ; U.S. Reaches Deal in Credit-Card Antitrust Suit ; Congressional Republicans Start 20-State Ad Blitz ; Ex-Members of Congress Call for Civility ; No Stopping Movie View of Mark Zuckerberg ; A Silicon Valley Investor’s Take on a Post-Facebook World ; On Start-Ups, Angels and the Real Mark Zuckerberg ; No Stopping Movie View of Mark Zuckerberg ; Mark Zuckerberg Friends ‘The Simpsons’ ; U.S. Reaches Deal in Credit-Card Antitrust Suit ; Congressional Republicans Start 20-State Ad Blitz ; Ex-Members of Congress Call for Civility",2010-10-04,67,67,1.3993330001831055,1.4113329648971558,1.3533329963684082,1.3619999885559082,9654000
61,Facebook and Twitter Used in Stock Fraud ; Emanuel vs. Bloomberg: Facebook Faceoff ; Facebook Now Lets You Take Your Data With You ; Facebook and Twitter Used in Stock Fraud ; Emanuel vs. Bloomberg: Facebook Faceoff ; Facebook Now Lets You Take Your Data With You,2010-10-06,69,69,1.3639999628067017,1.4173330068588257,1.3546669483184814,1.4040000438690186,4701000
62,Facebook Lets Users Interact in Small Groups ; Mark Zuckerberg at the Movies ; Facebook Lets Users Interact in Small Groups ; Mark Zuckerberg at the Movies,2010-10-07,70,70,1.3619999885559082,1.3760000467300415,1.3559999465942383,1.3713330030441284,2115000
63,Making Congress All It Can Be ; The Facebook Searchers ; Making Congress All It Can Be ; The Facebook Searchers,2010-10-08,71,71,1.3619999885559082,1.3860000371932983,1.3593330383300781,1.3619999885559082,4017000
64,Russian Facebook Investor to Go Public ; Russian Facebook Investor to Go Public,2010-10-11,72,72,1.3493330478668213,1.3799999952316284,1.3380000591278076,1.3626669645309448,2568000
65,What Not to Tell Facebook Friends ; How to Keep Facebook Groups From Taking Over Your Life ; What Not to Tell Facebook Friends ; How to Keep Facebook Groups From Taking Over Your Life,2010-10-12,73,73,1.3493330478668213,1.3519999980926514,1.335332989692688,1.3466670513153076,3660000
66,"After 28 Years, a Congressman on the Ropes ; Facebook Adds 3 New Security Features ; News Corp’s BSkyB Bid Said to Slow Over Antitrust ; Facebook and Microsoft Team Up on Social Search ; Whitacre Sees $20-$25 Share Price in G.M.’s I.P.O. ; My Mom Is on Facebook ; After 28 Years, a Congressman on the Ropes ; Facebook Adds 3 New Security Features ; News Corp’s BSkyB Bid Said to Slow Over Antitrust ; Facebook and Microsoft Team Up on Social Search ; Whitacre Sees $20-$25 Share Price in G.M.’s I.P.O. ; My Mom Is on Facebook",2010-10-13,74,74,1.369333028793335,1.3899999856948853,1.3573329448699951,1.3760000467300415,4773000
67,Microsoft’s Bing Gets a Social Lift From Facebook ; Microsoft’s Bing Deepens Friendship With Facebook ; Marketers Trade Tales About Getting to Know Facebook and Twitter ; Microsoft’s Bing Gets a Social Lift From Facebook ; Microsoft’s Bing Deepens Friendship With Facebook ; Marketers Trade Tales About Getting to Know Facebook and Twitter,2010-10-14,75,75,1.3833329677581787,1.4019999504089355,1.3600000143051147,1.399999976158142,4422000
68,"At Facebook, Hollywood Stardom as a Game ; At Facebook, Stardom as Game ; Facebook Acknowledges Privacy Issue With Applications ; At Facebook, Hollywood Stardom as a Game ; At Facebook, Stardom as Game ; Facebook Acknowledges Privacy Issue With Applications",2010-10-18,77,77,1.348667025566101,1.3760000467300415,1.3480000495910645,1.3680000305175781,2442000
69,Facebook Vows to Fix a Flaw in Data Privacy ; Facebook Philanthropy Project Gets $9 Million in Funding ; Facebook Vows to Fix a Flaw in Data Privacy ; Facebook Philanthropy Project Gets $9 Million in Funding,2010-10-19,78,78,1.3366669416427612,1.3606669902801514,1.3333330154418945,1.3466670513153076,3678000
70,Sanofi Gets U.S. Antitrust Approval on Genzyme Bid ; Sanofi Gets U.S. Antitrust Approval on Genzyme Bid,2010-10-20,79,79,1.3766670227050781,1.3793330192565918,1.3359999656677246,1.343999981880188,4687500
71,Timetable Is Set for the Only Civil Trial in a 9/11 Death ; Is There a Facebook Fund in Kleiner’s Future? ; Gay Conservative Group Attacks Congressional Democrats ; Timetable Is Set for the Only Civil Trial in a 9/11 Death ; Is There a Facebook Fund in Kleiner’s Future? ; Gay Conservative Group Attacks Congressional Democrats,2010-10-21,80,80,1.3833329677581787,1.3966670036315918,1.363332986831665,1.3739999532699585,6256500
72,Tip of the Week: Downloading Facebook Albums Easily ; How to Get Unfriended on Facebook ; Tip of the Week: Downloading Facebook Albums Easily ; How to Get Unfriended on Facebook,2010-10-22,81,81,1.3813329935073853,1.3953330516815186,1.3700000047683716,1.3786669969558716,2416500
73,Tipping Point for Apps on Facebook ; Facebook Shareholder Mail.ru in $876 Million I.P.O. ; Tipping Point for Apps on Facebook ; Facebook Shareholder Mail.ru in $876 Million I.P.O.,2010-10-25,82,82,1.3899999856948853,1.3986669778823853,1.3819999694824219,1.3960000276565552,1777500
74,Congressional Choices ; U.S. and Europe Urged to Join Forces on Rare Earth Metals ; Congressional Choices ; U.S. and Europe Urged to Join Forces on Rare Earth Metals,2010-10-26,83,83,1.4240000247955322,1.4579999446868896,1.3673330545425415,1.386667013168335,9913500
75,Toxic Metals Tied to Work in Prisons ; Facebook’s Ad Sales Chief Is Leaving ; Toxic Metals Tied to Work in Prisons ; Facebook’s Ad Sales Chief Is Leaving,2010-10-27,84,84,1.399999976158142,1.425333023071289,1.3766670227050781,1.4166669845581055,5347500
76,Facebook Backer Mail.ru’s I.P.O. Said Oversubscribed ; Facebook Backer Mail.ru’s I.P.O. Said Oversubscribed,2010-10-28,85,85,1.4126670360565186,1.4333330392837524,1.397333025932312,1.4259999990463257,3363000
77,Coal Industry Spending to Sway Next Congress ; Coal Industry Spending to Sway Next Congress,2010-10-29,86,86,1.4559999704360962,1.4566669464111328,1.4033329486846924,1.4093329906463623,4209000
78,Battle for Congress Comes to an End ; Battle for Congress Comes to an End,2010-11-01,87,87,1.4273329973220825,1.5166670083999634,1.420667052268982,1.4626669883728027,6837000
79,5 Options for Congress to Cut Taxes ; Trove of Gershwin Materials Moving to Library of Congress ; Facebook’s Initial Crew Moving On ; 5 Options for Congress to Cut Taxes ; Trove of Gershwin Materials Moving to Library of Congress ; Facebook’s Initial Crew Moving On,2010-11-02,88,88,1.4166669845581055,1.4586670398712158,1.4033329486846924,1.4453330039978027,4837500
80,"Apparently, My Congressman Is Still A Rocket Scientist ; Facebook’s Early Employees Are Moving On ; Facebook to Begin Offering Local Deals ; Using Facebook Updates to Chronicle Breakups ; Apparently, My Congressman Is Still A Rocket Scientist ; Facebook’s Early Employees Are Moving On ; Facebook to Begin Offering Local Deals ; Using Facebook Updates to Chronicle Breakups",2010-11-03,89,89,1.4513330459594727,1.5,1.4106669425964355,1.418666958808899,5589000
